symbol,n_bars,n_trades,initial_capital,final_equity,total_return,cagr,sharpe,sortino,max_drawdown_pct,max_dd_duration_bars,win_rate,profit_factor,avg_trade,avg_win,avg_loss,best_trade,worst_trade,expectancy,avg_bars_in_trade,pct_time_in_market
GBPJPY_X,1039,16,10000.0,10282.592630830906,0.028259263083090628,0.006781862430760954,0.23718323872298622,0.3636728369779637,-5.424022183905848,802,0.375,1.6142891932887244,21.095135907819415,147.82896090416978,-54.945159089990796,378.0892294065912,-98.6597375662047,21.09513590781942,20.3125,0.3128007699711261
GBPNZD_X,1039,23,10000.0,10026.709109569543,0.0026709109569543216,0.0006471508941572335,0.036090465803406795,0.05613826187160926,-5.438094575422646,741,0.391304347826087,1.1343977165960986,4.9793382728158555,107.406462060494,-60.86666987640581,498.94815138595243,-107.79944265656329,4.979338272815852,18.217391304347824,0.4032723772858518
GBPUSD_X,1039,13,10000.0,10014.854004239496,0.0014854004239496135,0.00036006786336595376,0.026952290350397933,0.03967299022019599,-4.354492858602537,504,0.38461538461538464,1.0984145746300846,5.19210021922056,150.6687835154264,-85.7308268409081,369.9921578076553,-110.30213383364999,5.192100219220563,19.615384615384617,0.24542829643888353
GC_F,1005,12,10000.0,11812.543118460148,0.18125431184601476,0.04265310122571386,1.3990109592872104,2.2556361274763344,-2.902322591704215,174,0.75,8.807848437074583,153.57293459299464,230.9893082297364,-78.67618631723072,858.3165402214657,-102.037302295992,153.5729345929946,20.833333333333332,0.24875621890547264
GF_F,1003,17,10000.0,10423.728168706044,0.0423728168706044,0.010481183480054002,0.3260852554675181,0.5318423880102924,-4.65033875999496,795,0.35294117647058826,1.545330063015362,27.41536090449442,220.116932400486,-77.69458718422827,466.0843874401449,-109.91584869097858,27.415360904494428,14.176470588235293,0.24027916251246262
HE_F,1003,12,10000.0,11262.730367139613,0.1262730367139613,0.030327480464579448,0.6814565042616754,1.9471908165806384,-3.781575271087953,256,0.5833333333333334,3.886365873555369,106.91845692684537,246.79035979505565,-88.90220708864906,712.1283452862466,-117.16899459025227,106.91845692684535,13.583333333333334,0.1625124626121635
HG_F,1006,19,10000.0,10832.654329105666,0.0832654329105666,0.02023680141757178,0.5321813932175662,0.8268580333972322,-5.412292020270234,534,0.5789473684210527,2.5566885128690964,45.5953308796395,129.34730574771353,-69.56363456396232,411.6621195861835,-103.82206527656025,45.59533087963949,14.210526315789474,0.268389662027833
HO_F,1006,16,10000.0,10402.353641272843,0.04023536412728426,0.009930337464284955,0.37826431746617656,0.5671096259974265,-6.612840684269915,392,0.3125,1.6441370757777878,26.12800618345577,213.41059372742797,-59.000442700167966,536.6345572753833,-108.42276597745632,26.128006183455767,17.6875,0.2813121272365805
KC_F,1005,17,10000.0,10211.703932713923,0.021170393271392276,0.00526680848636496,0.18199852157180488,0.26988857023672874,-5.359817803739431,441,0.29411764705882354,1.2727381293872715,13.586497988671525,215.56569245074274,-70.57149970385815,660.2050354815384,-103.40798599715104,13.586497988671532,9.176470588235293,0.15522388059701492
LE_F,1003,16,10000.0,11219.53810546609,0.12195381054660902,0.029333308240435674,0.9940551090392199,1.5424008820419883,-3.0943009083142945,324,0.625,4.338796203835408,78.538802094896,163.29902663321167,-62.728238802296744,294.51074443518314,-110.79455965600302,78.53880209489603,22.0,0.3509471585244267
NG_F,1006,19,10000.0,10424.167279140409,0.04241672791404089,0.010460427274185946,0.3628137119168912,0.575820967016376,-4.756343062929262,709,0.42105263157894735,1.6137760842762785,22.930625400624315,143.19004530384353,-64.53077089262602,509.5730858475722,-107.98006542777236,22.930625400624308,13.631578947368421,0.25745526838966204
NQ_F,1006,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZDCAD_X,1039,13,10000.0,9486.737962736079,-0.05132620372639212,-0.012698234974125922,-0.5771125459213476,-0.8056027440441652,-6.272661417496053,814,0.3076923076923077,0.3212161878244005,-35.50325667836405,54.60312521202465,-75.55053751853681,175.23132798368712,-106.28566509896824,-35.50325667836405,13.846153846153847,0.17324350336862368
NZDCHF_X,1039,14,10000.0,9874.458118979726,-0.012554188102027365,-0.0030594889736638153,-0.10560083129409076,-0.16162328758915834,-4.801034006213684,743,0.2857142857142857,0.8739785571680304,-5.43095719034443,131.82590263274292,-60.33370111957938,291.65250207930666,-108.03029506632322,-5.4309571903444365,22.285714285714285,0.30028873917228105
NZDJPY_X,1039,19,10000.0,10751.826982422019,0.07518269824220188,0.01773740752039399,0.5282918484304702,0.8144993147366142,-5.631599224715376,314,0.5789473684210527,2.1983197592225623,42.80924449011269,135.6490080076887,-84.84543034655431,369.813744019169,-113.65791069172728,42.809244490112704,25.526315789473685,0.4667949951876805
NZDUSD_X,1039,17,10000.0,9291.554277444451,-0.07084457225555489,-0.01766385551129701,-0.6455982403573662,-0.9742841325217985,-7.666468720923016,694,0.23529411764705882,0.28562290689708286,-38.67273942182032,65.71422365219266,-70.79180498305507,131.0498392891257,-104.13323438863088,-38.67273942182031,13.352941176470589,0.21847930702598653
OJ_F,1005,17,10000.0,12374.855419191814,0.23748554191918136,0.054882513475678074,1.6459769635933694,2.683355944570246,-2.2053429650709426,464,0.7647058823529411,9.397410448400052,140.5957456455959,205.75034074937574,-71.15668844168854,576.0155088665771,-101.09278716250003,140.5957456455959,19.705882352941178,0.3333333333333333
PA_F,1004,17,10000.0,10642.443671875482,0.06424436718754824,0.015751035373966715,0.49386459518197084,0.8070753275941074,-4.787115850629116,567,0.47058823529411764,2.139138395341041,39.021982565044695,155.7150743981624,-64.70521017550438,335.12528520987894,-111.08061718522409,39.02198256504468,9.941176470588236,0.16832669322709162
PL_F,1005,20,10000.0,10733.028785708997,0.0733028785708997,0.017896217703602613,0.47495914910091475,0.7759149924873451,-3.5901083568732424,644,0.45,1.9676867697987541,38.4951534437505,173.94610298535497,-72.32835072665317,511.4021871549797,-106.12862028757235,38.49515344375049,9.75,0.19402985074626866
